"","siteid","long","lat","noAnalog","timeArrow","pastComp","presentComp","noAnalogWhich","timeArrowWhich","pastCompWhich","presentCompWhich","pastSamples","presentSamples","fig3Number"
"9869","9869",-94.474636,43.606022,0.0708572647025393,0.0672815834506139,0.112648349400048,0.096791611727178,"9869","9871","9824","9688",7,8,""
"98671","9874",-93.935746,44.807836,0.0863264829729999,0.0950846807133689,0.0718448114659303,0.0974006317265008,"9867","9874","9870","9875",6,8,""
"2742","274",-93.66667,47.13333,0.0897062875565275,0.0897062875565275,0.0838286045411913,0.0878177463343097,"274","274","2937","1119",2,8,""
"1815","1815",-92.011594,48.098118,0.0763092812508937,0.0763092812508937,0.0984257779393734,0.100735735138067,"1815","1815","1729","10211",14,15,""
"272451","1078",-94.13333,46.55,0.1026825406439,0.077090582561267,0.0947834973353879,0.0790692792641787,"27245","10132","11606","10132",1,3,""
"10146","10146",-94.670324,46.953096,0.0698074633864458,0.0698074633864458,0.100615072527944,0.115348759260145,"10146","10146","1815","27245",2,4,""
"1991","1991",-95.575,46.92222,0.0408142843708499,0.0408142843708499,0.15671707997966,0.122065484994383,"1991","1991","1771","1771",4,10,"16"
"7540","7538",-95.5546,45.8003,0.0784356603611677,0.117402254309962,0.087263761880336,0.079638956338271,"7540","7531","7540","7540",3,12,""
"15442","307",-93.547946,44.95588,0.078410875474904,0.116308068666268,0.0807917837201908,0.0887878427993521,"1544","2235","1548","1586",2,13,""
"1827","1827",-95.31667,46.96667,0.0838572045065646,0.0838572045065646,0.104147995250271,0.0925035602213029,"1827","1827","269","1078",2,5,""
"9870","9826",-93.740124,45.14107,0.0628654800389671,0.0855477420399975,0.132386397238029,0.0874542475546275,"9870","9688","9825","9873",9,1,""
"2849","2849",-91.66,47.47167,0.0827782049937322,0.0827782049937322,0.0959722296738076,0.111926627264473,"2849","2849","8572","1729",1,4,""
"75391","7539",-95.26402,46.0551,0.115727919506452,0.101900306487525,0.0795120589469007,0.0876393994544469,"7539","7531","7540","7540",3,11,""
"133491","269",-94.55197,46.270324,0.0957523391011995,0.0970879206667421,0.104147995250271,0.0891656220919776,"13349","269","1827","1772",3,8,""
"1078","1721",-94.756512,46.858288,0.10786758225223,0.103109082690446,0.0906998141791511,0.0891460082489738,"1078","10132","10132","10132",1,2,""
"2235","2235",-93.859794,44.870322,0.0889856099487004,0.0889856099487004,0.123199794371095,0.0911674945036467,"2235","2235","7531","799",3,6,""
"85513","8551",-93.41352,44.5921,0.0993889502581308,0.0804095388611131,0.0876962394090502,0.125468018120256,"8551","799","799","1544",1,8,""
"485","485",-93.27,42.02,0.0871684891758735,0.0871684891758735,0.0919399482663943,0.127739047412629,"485","485","1833","1833",1,2,""
"30327","30327",-90.55597,46.92654,0.0859494751843409,0.0859494751843409,0.135309954836276,0.0889759412306843,"30327","30327","10352","10352",5,12,""
"2548","2548",-95.787316,47.192748,0.0868869878954709,0.0868869878954709,0.120755920018373,0.103831244873183,"2548","2548","8561","1652",2,8,""
"318","2293",-91.86667,47.91667,0.0994946946399633,0.110519355524432,0.0953065295400357,0.095714583906037,"318","26673","318","318",4,15,""
"8551","10156",-93.559052,44.98797,0.0851994753183137,0.114513492230939,0.0949592804724462,0.109225852022163,"8551","2235","799","307",4,7,""
"1544","1548",-93.16014,44.79964,0.101175896529182,0.10473537721356,0.0807917837201908,0.11853729953156,"1544","1548","307","799",6,7,""
"1701","1701",-95.00834,47.243982,0.103247617615072,0.103247617615072,0.13392303298422,0.066120156016336,"1701","1701","1772","11606",7,21,""
"2786","1645",-91.45,45.3,0.0747504878538528,0.113677913312652,0.0756572852891507,0.142829202734583,"2786","1645","2231","13349",3,1,""
"7542","10135",-95.324986,46.164476,0.0979759952672543,0.118024806854013,0.101270053687099,0.092675069622857,"7542","9762","9762","7538",3,6,""
"245","245",-93.18333,45.425,0.100916408442454,0.100916408442454,0.115198026627655,0.102906314421552,"245","245","10134","1544",7,16,""
"85611","8561",-96.189,46.59746,0.090371643848991,0.090371643848991,0.116852030492353,0.126736080096615,"8561","8561","1979","7539",2,3,""
"28511","2851",-94.95,46.95,0.0781615886431084,0.0781615886431084,0.152579112997158,0.115740949829615,"2851","2851","1772","1827",3,6,"15"
"824","824",-94.421536,44.945278,0.0912240943691135,0.0912240943691135,0.145832781269452,0.0971587482201437,"824","824","2235","2235",3,12,""
"1766","1766",-95.12645,43.34114,0.096434108733686,0.096434108733686,0.118084876389771,0.1215543745289,"1766","1766","1813","9987",4,12,""
"1771","1771",-93.68,46.06833,0.078292204796026,0.078292204796026,0.15671707997966,0.122065484994383,"1771","1771","1991","1991",4,15,"14"
"2557","2557",-93.98205,45.408746,0.133495348868068,0.106829050741076,0.146023542493529,0.0512290317600342,"2557","307","1979","799",1,17,""
"30329","30329",-90.54762,46.9164,0.0800117913277248,0.0800117913277248,0.132251650090254,0.146805314976621,"30329","30329","10352","1128",18,20,""
"15441","1586",-92.824634,45.047734,0.119747671666136,0.121054912958886,0.109924856193014,0.0887878427993521,"1544","7531","307","307",2,4,""
"1772","1544",-93.692446,45.42213,0.140019736329958,0.078410875474904,0.148189928911472,0.0734239956378792,"1772","307","8561","2557",1,10,""
"1833","1833",-93.9,42.16,0.111374946135605,0.111374946135605,0.0919399482663943,0.127739047412629,"1833","1833","485","485",1,1,""
"9987","9987",-95.8058,45.8653,0.107402449932139,0.0978935220645348,0.131268790944723,0.108485634750819,"9987","1766","7542","9762",2,8,""
"17721","1772",-94.408428,46.341438,0.118392489333248,0.1137103881161,0.129499468191934,0.0891656220919776,"1772","1701","10135","269",9,14,""
"85511","2933",-93.573634,45.004374,0.116776873673559,0.122479557211164,0.120677912160032,0.092570077144092,"8551","7531","7531","1814",11,7,""
"10134","10134",-93.069822,45.590222,0.120206526291009,0.111105507506196,0.115198026627655,0.109678393372515,"10134","7531","245","10135",1,7,""
"26673","26673",-92.066748,46.732492,0.0857638947849314,0.0857638947849314,0.154021843300547,0.134349732532545,"26673","26673","6515","292",4,14,"13"
"1676","1676",-97.352702,44.98282,0.093921485987587,0.093921485987587,0.136036383360561,0.144482839359376,"1676","1676","7532","7541",4,12,""
"292","292",-95.16281,47.1774,0.149188200738575,0.104071158073602,0.138277620648254,0.0813307890020828,"292","1701","1772","11606",1,9,""
"8561","1979",-95.28417,46.21194,0.148866854015674,0.105979674125314,0.116852030492353,0.101386177158785,"8561","10135","8561","7542",1,6,""
"1813","1813",-97.279598,45.496484,0.126555821277327,0.126555821277327,0.118084876389771,0.101977712860333,"1813","1813","1766","7541",2,6,""
"799","11620",-94.705204,43.67599,0.108661908278668,0.110542947168787,0.125218514943504,0.130944336891498,"799","11620","1766","1766",7,9,""
"75341","1814",-93.631152,45.034798,0.129058773764399,0.116205386780517,0.148724561054306,0.092570077144092,"7534","9762","10156","2933",3,32,""
"1119","1119",-93.64361,47.13556,0.12648517315239,0.12648517315239,0.148380227970967,0.0878177463343097,"1119","1119","1410","274",1,5,""
"2550","2550",-96.093656,47.194632,0.103844586385458,0.103844586385458,0.140571425547043,0.141448569860952,"2550","2550","1676","1979",19,20,""
"2741","1590",-93.601798,47.284892,0.13164910730851,0.14253248944482,0.116599595881767,0.102777573325462,"274","2231","10211","1901",1,3,""
"7541","7541",-95.7134,45.6736,0.13835580837024,0.13835580837024,0.120778109430868,0.101977712860333,"7541","7541","7542","1813",3,13,""
"2534","1483",-93.12302,44.77054,0.0943500968024057,0.112209833983286,0.159015796004911,0.137898855682458,"2534","1483","2534","2534",2,8,"12"
"1721","6515",-93.66042,46.51172,0.116874946010513,0.126632979228262,0.135255097390945,0.126494294714245,"1721","531","10132","2231",1,3,""
"25571","478",-93.439296,43.121856,0.114985266942509,0.126012317851617,0.136684024120504,0.130499919257841,"2557","11620","1766","2235",1,5,""
"274","1410",-90.35,45.3,0.104775524361445,0.144752536185108,0.105701534711325,0.155066202355798,"274","1410","2937","1119",1,4,"11"
"2851","1652",-94.944158,47.173866,0.137451661960941,0.117182971365172,0.15456608996199,0.10155923383072,"2851","2548","1701","269",17,28,"10"
"25341","2534",-91.45,44.15,0.130338204977832,0.0943500968024057,0.159015796004911,0.137898855682458,"2534","1483","1483","1483",3,7,"9"
"75342","7534",-93.448984,44.774484,0.130885469712287,0.124332780330855,0.155302936614129,0.116871171145841,"7534","9762","9762","799",1,6,"8"
"7539","2792",-95.30694,46.18444,0.153762756342725,0.11864826076365,0.139834885051658,0.126772444113979,"7539","11620","799","2557",1,2,"7"
"1510","1510",-92.587352,46.714106,0.112588067022539,0.112588067022539,0.176877785469166,0.177429726357002,"1510","1510","30329","30329",1,2,"6"
"2519","2519",-93.69167,44.89167,0.145569482301552,0.145569482301552,0.150459412130319,0.13994552248031,"2519","2519","10169","10169",3,8,"5"
"8567","27281",-92.601862,46.540106,0.139887168060746,0.160232277634784,0.141706001151145,0.148935435437484,"8567","1590","1410","274",2,1,"4"
"16761","7532",-95.6825,44.6159,0.141234914843564,0.142639614638971,0.136036383360561,0.17406675032179,"1676","7532","1676","7541",2,8,"3"
"266","266",-94.971068,47.558974,0.138316742991728,0.138316742991728,0.202096418077731,0.130820162594703,"266","266","2851","2851",1,3,"2"
"7534","10169",-93.574622,45.003678,0.150772859552969,0.196909921070267,0.150459412130319,0.13994552248031,"7534","2519","2519","2519",10,14,"1"
